Dashboard,マイページ
Branch,支部
Whoops, our bad...,ページが見つかりません
The page you requested was not found, and we have a fine guess why.,お探しのページが見つかりません。　下記の理由でアクセスができないかもしれません。
If you typed the URL directly, please make sure the spelling is correct.,アドレス（URL)のタイプミスかもしれません。正しく入力されているか、確認してください。
If you clicked on a link to get here, the link is outdated.,リンク（サイトの内外問わず）をクリックした場合、リンク切れかもしれません。
What can you do?,お手数ですが下記いずれかの方法にて、お求めのページをお探しください。
Go back to the previous page.,前のページ に戻ってください。
Follow these links to get you back on track!, 下記のリンク先に直接クリックしてください。
Store Home, ホームページ
Frequently Asked Questions,よくある質問
Contact Us,お問い合わせ
Contract,契約する
Edit,編集
View / Edit,表示/編集g
Helper Information,ヘルパー情報
Change Password,パスワードを変更
Quick Links,ショートカット
Helper,ヘルパー
Email Address,メールアドレス
Password,パスワード
Forgot Your Password?,パスワードを忘れた方はこちら
Forgot Your Password,パスワードを忘れた方はこちら
Total,合計
Order Information,お客様情報
Login,ログイン
Processing,処理中
Suspected Fraud,不正行為の疑い
Pending Payment,未決済
Payment Review,支払いの調査中
Pending,処理開始
On Hold,保留
Open,オープン
Complete,完了
Closed,クローズド
Canceled,キャンセル
processing,処理中
suspected fraud,不正行為の疑い
pending payment,未決済
payment review,支払いの調査中
pending,処理開始
on hold,保留
open,オープン
complete,完了
closed,クローズド
canceled,キャンセル
"Welcome","ようこそ",module,Magento_Theme
"Proceed to Checkout","購入手続きをする",module,Magento_Checkout
"View and Edit Cart","ショッピングカートを見る",module,Magento_Checkout
"Customer Login","ログイン"
"Other Bundles","その他のバンドル"
"Shop By","絞り込み",module,Magento_LayeredNavigation
"Items %1-%2 of %3","%3 商品",module,Magento_Catalog
"%1 Item","%1 注文",module,Magento_Catalog
"%1 Items","%1 商品",module,Magento_Catalog
"Sort By","順番",module,Magento_Catalog
"Qty","数量"
"Quantity","数量"
"Search entire store here...","キーワード検索",module,Magento_Search
"Sorry, we cannot accept your registration. We have not saved any of your personal information. Please see our Terms and Conditions for any questions.", "申し訳ございませんがご入力頂いた内容では会員登録いただけません。ご入力いただいた個人情報は保存しておりません。ご登録条件については会員規約をご覧ください。"
"Recommended Products","おすすめ商品",module,Magento_Catalog
"More Choices:","カート内の商品をご購入された方は、こんな商品も買っています",module,Magento_Catalog
"Next","次へ"
"Estimated Total","合計"
"edit","変更"
"Success","完了"
"My Account", "マイページ"
"Address Book","お届け先住所",module,Magento_Customer
"Stored Payment Methods","保存済クレジットカード",module,Magento_Vault
"Reward Points","ポイント利用履歴",module,Magento_Reward
"My Subscriptions","定期購入"
"My Saved Cards","保存済クレジットカード"
"Withdraw","退会"
"Sign Out","ログアウト"
"Newsletter Subscriptions","メールマガジン購読"
"Newsletters","メールマガジン購読",module,Magento_Customer
"You are subscribed to our newsletter.","メールマガジンを購読中",module,Magento_Customer
"You aren't subscribed to our newsletter.","メールマガジンを購読していません",module,Magento_Customer
"If you wish to cancel your membership, please click the button below.","退会をご希望の方は下記のボタンを押してください。"
"Proceed with the withdrawal procedure","退会手続きを進める"
"Account Withdrawal","退会"
"The Names you entered is not available.","The name you entered is not available."
"Profile ID","定期便番号"
"Email","メールアドレス"
"Registered Customers","アカウントをお持ちの方",module,Magento_Customer
"New Customers","新規会員登録",module,Magento_Customer
