"Terms & Conditions","Nutzungsbedingungen"
"Terms &amp; Conditions","Nutzungsbedingungen"
"Cookie Policy","Cookie richtlinien"
"Privacy Policy","Datenschutz"
"FAQ","FAQ"
"Sales Policy","Verkaufspolitik"
"THIS SERVICE IS PROVIDED BY","DIESER SERVICE WIRD BEREITGESTELLT VON"
"What's Your Resolution?","Was nimmst du dir vor?"
"Select Your Can","Wähle deine Dose aus"
"Now... It’s time to fill it in!","Jetzt .. ist es Zeit zum Ausfüllen!"
"Make it personal (optional)","Mach es persönlicher"
"To Name","für"
"From Name","Von"
"Your family or friend’s name","Name des Empfängers"
"Can't find your pledge?","Findest du kein passendes Versprechen?"
"Request a name","Namen wählen"
"Checkout With Your Account","Unter diesem Nutzerkonto bezahlen"
"Request pledge form","Anfrage neues Versprechen"
"Submit my suggestion","Vorschlag absenden"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Bitte gib das Versprechen oder den Namen ein, den du für deine Dose verwenden möchtest (""%1""). Du kannst maximal 36 Zeichen (einschließlich Leerzeichen) für ein Versprechen und maximal 18 Zeichen für einen Namen verwenden. Wenn du mehr als einen Namen anfragen möchtest, trenne die Namen bitte durch Kommas."
"FPT","Dosenpfand"
"You already have an account with us. Click here to sign in.","Du hast bereits ein Konto bei uns. Klicke hier, um dich anzumelden."
"If you have an account, sign in with your email address.","Wenn Du bereits ein Konto hast, melde dich mit deiner E-Mail-Adresse an."
"By logging in, you agree to Coca Cola's Terms of use and Privacy Policy","Durch das Anmelden stimmst Du den Nutzungsbedingungen und Datenschutzbestimmungen von Coca-Cola zu."
"Not a member?","Du hast noch kein Nutzerkonto?"
"Join Us","Registriere dich jetzt!"
"Confirm Email","E-Mail-Adresse bestätigen"
"Nature of Inquiry","Art der Anfrage"
"Choose:","Auswählen"
"Order Inquiry","Bestellanfrage"
"Bulk orders","Großbestellung"
"Account Access Issues","Kontozugriffsprobleme"
"Nutrition & Ingredient Inquiry","Anfragen zu Ernährung und Zutaten"
"Status of National Promotion",""
"Suggestions","Vorschlag"
"Other","Sonstiges"
"Order Confirmation Number","Bestellbestätigungsnummer"
"Thank you, %store_name","Vielen Dank, Coca-Cola Germany"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei Coca-Cola Store"
"View Cart","Details"
"Cart Subtotal","Zwischen"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Melde dich bei Coca-Cola an und teile als Erster besondere Momente mit denen, die du liebst"
"Select Your Flavour","Wähle das Produkt aus"
"Let's do it!","Auf geht's!"
"Now... It’s time to fill it in!","Jetzt ist es Zeit zum Ausfüllen!"
"Now customize your resolution","Personalisiere nun deine Dose"
"Back to Resolution","Zurück zum Vorsatz"
"You added %1 to your shopping cart.","Du hast %1 to deiner Bestellung hinzugefügt"
"Please select an approved name from the lists provided","Bitte wähle einen Namen aus den bereitgestellten Listen"
"Resolution","Vorsatz"
"Request name form","Anfrage neuer Name"
"Confirm Email","E-Mail-Adresse bestätigen"
"Email","E-Mail-Adresse"
"Street Address 1","Straße und Hausnummer: Zeile 1"
"Street Address 2","Straße und Hausnummer: Zeile 2"
"Street Address 3","Straße und Hausnummer: Zeile 3"
"Enter your card details:","Gib hier deine Kartendaten ein:"
"Your card details are protected using PCI DSS v3.2 security standards.","Deine Kartendaten werden durch PCI DSS v3.2-Sicherheitsstandards geschützt."
"You will be redirected for payment processing","Du wirst zur Zahlungsabwicklung weitergeleitet"
"Preview Changes","Vorschau von Änderungen"
"Add to Cart","In den Warenkorb"
"From","Von"
"To","Für"
"* Required Fields","* Pflichtfelder"
"Message","Nachricht"
"messages","Nachrichten"
"Address","Adresse"
"Address Finder","Adressfinder"
"All","Alle"
"Back","Zurück"
"Bottle Deposit","Flaschenpfand"
"Choose your design","Wähle dein Design"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Company","Unternehmen"
"Congratulations! Your order qualifies for free shipping","Glückwunsch! Deine Bestellung kann kostenlos versendet werden"
"Contact Information","Kontaktdaten"
"Continue Shopping","Weitershoppen"
"Country","Land"
"Create your account","Erstelle deinen Account"
"Create your own","Kreiere dein Design"
"Customise","Personalisieren"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Description","Beschreibung"
"Design","Design"
"Edit","Bearbeiten"
"Enter the name or message","Namen oder Nachricht eingeben"
"estimated","geschätzt"
"Europe","Europa"
"Gift Ideas","Geschenkideen"
"Gift ideas","Geschenkideen"
"Go back","Zurück"
"How does it work?","Wie funktioniert's?"
"included","inkl."
"It's a default billing address.","Das ist eine Standard-Rechnungsadresse."
"It's a default shipping address.","Das ist eine Standard-Lieferadresse."
"Item","Artikel"
"Items","Artikel"
"Loading...","Wird geladen ..."
"Log Out","Abmelden"
"Month","Monat"
"more","mehr"
"more and enjoy free shipping","mehr und deine Bestellung wird kostenlos versendet"
"Options Details","Optionsdetails"
"Order Confirmed","Bestellung bestätigt"
"Pending Approval","Genehmigung steht aus"
"Personalize your drink. Enjoy your experience.","Personalisiere dein Getränk. Genieße dein Erlebnis."
"Personalized Product","Personalisiertes Produkt"
"Phone Number","Telefonnummer"
"Please enter a valid phone number.","Bitte gib eine gültige Telefonnummer ein."
"Please enter a valid postal code.","Bitte gib eine gültige Postleitzahl ein."
"Please specify a regionId in shipping address.","Bitte gib bei deiner Lieferadresse eine Region ein."
"Price","Preis"
"Qty","Menge"
"Remove","Entfernen"
"Resolutions","Auflösungen"
"Save Address","Adresse speichern"
"See Details","Details ansehen"
"See price before order confirmation.","Schau dir den Preis an, ehe du deine Bestellung bestätigst."
"Select","Auswählen"
"Select beverage & package","Getränk & Verpackung auswählen"
"Select design","Design auswählen"
"Select Yes to enable personalized product functionality for this store view.","Wähle „Ja“, um die Funktion für personalisierte Produkte in dieser Store-Ansicht zu aktivieren."
"Select your drink","Getränk auswählen"
"Shipment & Returns","Versand & Retouren"
"Shipping","Versand"
"Shop by Category","Nach Kategorie shoppen"
"Shopping Cart Items","Artikel im Warenkorb"
"Spend","Ausgaben"
"Start personalizing","Personalisierung starten"
"State/Province","Bundesstaat/Provinz"
"Stay up to date","Bleib auf dem Laufenden"
"Street Address","Straße"
"Subscribe to newsletter, order your creation and manage your orders. Create your account today.","Abonniere unseren Newsletter, bestelle dein Design und verwalte deine Bestellungen. Erstelle gleich deinen Account!"
"Subscription","Abonnieren"
"Subtotal","Zwischensumme"
"Taxes","Steuern"
"The shipping method is missing. Select the shipping method and try again.","Du musst eine Versandmethode auswählen. Wähle die Versandmethode aus und versuche es noch einmal."
"This service is provided by","Dieser Service wird bereitgestellt von"
"Title","Titel"
"Total","Gesamtsumme"
"Type your message or choose from our favorite suggestions below","Gib deine Nachricht ein oder wähle unten einen unserer Vorschläge aus"
"unit","Einheit"
"Update","Aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Use as my default billing address","Als Standard-Rechnungsadresse verwenden"
"Use as my default shipping address","Als Standard-Lieferadresse verwenden"
"VAT Number","USt-ID"
"We'll email you an order confirmation with details and tracking info.","Wir senden dir eine Bestätigungs-E-Mail mit Einzelheiten zu deiner Bestellung und Tracking-Infos."
"What's this?","Was ist das?"
"Year","Jahr"
"Your Cart","Dein Warenkorb"
"Your order # is: <span>%1</span>.","Deine Bestellnummer: <span>%1</span>."
"Your order number is: %1.","Deine Bestellnummer lautet: %1."
"Zip/Postal Code","PLZ"
"Welcome to %store_name","Willkommen bei %store_name",module,Magento_Customer
"Welcome to %store_name.","Willkommen bei %store_name.",module,Magento_Customer
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","schön, dass du jetzt Teil unserer Community bist! Um dich beim Coke Store anzumelden, kannst du die folgenden Anmeldedaten beim Checkout oder auf der Seite <a href=""%customer_url"">„Mein Account“</a> benutzen:",module,Magento_Customer
"Email:","E-Mail:",module,Magento_Customer
"Password:","Passwort:",module,Magento_Customer
"Password you set when creating account","das Passwort, das du festgelegt hast, als du deinen Account erstellt hast",module,Magento_Customer
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Du hast das Passwort für deinen Account vergessen? Kein Problem – <a href=""%reset_url"">hier kannst du es zurücksetzen</a>!",module,Magento_Customer
"When you sign in to your account, you will be able to:","Wenn du dich bei deinem Account anmeldest, kannst du Folgendes tun:",module,Magento_Customer
"Proceed through checkout faster","schneller zur Kasse gehen",module,Magento_Customer
"Check the status of orders","den Status deiner Bestellungen überprüfen",module,Magento_Customer
"View past orders","ältere Bestellungen ansehen",module,Magento_Customer
"Store alternative addresses (for shipping to multiple family members and friends)","mehrere Adressen speichern (um deine Bestellungen an verschiedene Familienmitglieder und Freund*innen zu senden)",module,Magento_Customer
"Thank you,","Danke!",module,Magento_Customer
