"Terms & Conditions","Conditions d'utilisation"
"Terms &amp; Conditions","Conditions d'utilisation"
"Cookie Policy","Politique des Cookies"
"Privacy Policy","Politique de confidentialité"
"FAQ","FAQ"
"Sales Policy","Politique de vente"
"THIS SERVICE IS PROVIDED BY","CE SERVICE EST FOURNI PAR"
"What's Your Resolution?","Quelle est votre résolution ?"
"Select Your Can","Sélectionnez votre canette"
"Now... It’s time to fill it in!","Il est temps de passer à la création !"
"Make it personal (optional)","Signez la canette (optionnel)"
"To Name","à"
"From Name","De"
"Your family or friend’s name","Le prénom de la personne"
"Select Your Flavour","Choisissez votre produit"
"Now customize your resolution","Créez maintentant votre résolution"
"Back to Resolution","De retour"
"Can't find your pledge?","Vous ne trouvez pas votre résolution ?"
"Request a name","Ajouter un prénom"
"Let's do it!","C'est parti!"
"Checkout With Your Account","Confirmer votre commande via votre compte"
"Not a member?","Pas encore membre ?"
"Join Us","Devenir membre"
"Request pledge form","Ajouter une résolution"
"Submit my suggestion","Soumettre ma suggestion"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Écris ici la bonne résolution ou le nom que tu aimerais avoir sur la canette (""%1""). Tu as un maximum de 36 caractères (espaces inclus) pour ta bonne résolution, et un maximum de 18 caractère pour le nom. Si tu veux mettre plusieurs noms, espace-les d'une virgule."
"You already have an account with us. Click here to sign in.","Vous avez déjà un compte chez nous. Identifiez-vous ou continuez en tant qu’invité."
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Devenez membre de notre base de données et soyez le premier à partager votre résolution."
"Request name form","Ajouter un prénom"
"Enter your card details:","Encodez vos informations bancaires"
"Preview Changes","Aperçu des modifications"
"Add to Cart","Ajouter au panier"
"From","De"
"To","Pour"
"Your %store_name order confirmation","Votre confirmation de commande %store_name"
"Thank you for your order from %store_name.","Merci pour votre commande sur le site %store_name."
"Once your package ships we will send an email with a link to track your order.","Une fois votre colis expédié, nous vous enverrons un e-mail avec un lien pour suivre votre commande.",module,Magento_Email
"Thank you, %store_name","Salutations rafraîchissantes, %store_name",module,Magento_Email
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions concernant votre commande, veuillez nous contacter par email à l'adresse suivante: <a href=""mailto:%store_email"">%store_email</a>"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions concernant votre commande, veuillez nous contacter par email à l'adresse suivante: <a href=""mailto:%store_email"">%store_email</a>."
"* Required Fields","* Champs obligatoires"
"Message","Message"
"messages","messages"
"Address","Adresse"
"Address Finder","Recherche d’adresse"
"All","Tout"
"Back","Retour"
"Bottle Deposit","Consigne de bouteille"
"Choose your design","Choisissez votre design"
"City","Ville"
"Clear Shopping Cart","Panier d’achat clair"
"Company","Entreprise"
"Congratulations! Your order qualifies for free shipping","Félicitations ! Votre commande bénéficie de la livraison gratuite"
"Contact Information","Informations de contact"
"Continue Shopping","Poursuivre les achats"
"Country","Pays"
"Create your account","Créez votre compte"
"Create your own","Créez votre propre compte"
"Customise","Personnaliser"
"Date of Birth","Date de naissance"
"Day","Jour"
"Description","Description"
"Design","Design"
"Edit","Modifier"
"Enter the name or message","Entrez le nom ou le message"
"estimated","estimation"
"Europe","Europe"
"Gift Ideas","Idées cadeaux"
"Gift ideas","Idées cadeaux"
"Go back","Retour"
"How does it work?","Comment ça marche ?"
"included","inclus"
"It's a default billing address.","Il s’agit d’une adresse de facturation par défaut."
"It's a default shipping address.","Il s’agit d’une adresse de livraison par défaut."
"Item","Article"
"Items","Articles"
"Loading...","Chargement..."
"Log Out","Déconnexion"
"Month","Mois"
"more","plus"
"more and enjoy free shipping","plus et profitez de la livraison gratuite"
"Options Details","Options détaillées"
"Order Confirmed","Commande confirmée"
"Pending Approval","En attente d’approbation"
"Personalize your drink. Enjoy your experience.","Personnalisez votre boisson. Profitez de votre expérience."
"Personalized Product","Produit personnalisé"
"Phone Number","Numéro de téléphone"
"Please enter a valid phone number.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid postal code.","Veuillez saisir un code postal valide."
"Please specify a regionId in shipping address.","Veuillez spécifier un region dans l’adresse de livraison."
"Price","Prix"
"Qty","Qté"
"Remove","Supprimer"
"Resolutions","Résolutions"
"Save Address","Sauvegarder l’adresse"
"See Details","Voir les détails"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande."
"Select","Sélectionner"
"Select beverage & package","Sélectionnez la boisson et le forfait"
"Select design","Sélectionnez le design"
"Select your drink","Sélectionnez votre boisson"
"Shipment & Returns","Expédition et retours"
"Shipping","Expédition"
"Shop by Category","Magasiner par catégorie"
"Shopping Cart Items","Articles du panier"
"Spend","Dépenser"
"Start personalizing","Commencer la personnalisation"
"State/Province","Etat/Province"
"Stay up to date","Rester à jour"
"Street Address","Adresse postale"
"Subscribe to newsletter, order your creation and manage your orders. Create your account today.","Abonnez-vous à la newsletter, commandez votre création et gérez vos commandes. Créez votre compte aujourd’hui."
"Subscription","Abonnement"
"Subtotal","Sous-total"
"Taxes","Taxes"
"The shipping method is missing. Select the shipping method and try again.","La méthode d’expédition est manquante. Sélectionnez le mode d’expédition et réessayez."
"This service is provided by","Ce service est fourni par"
"Title","Titre"
"Total","Total"
"Type your message or choose from our favorite suggestions below","Tapez votre message ou choisissez parmi nos suggestions préférées ci-dessous"
"unit","unité"
"Update","Mettre à jour"
"Update Shopping Cart","Mettre à jour le panier d’achat"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"VAT Number","Numéro de TVA"
"We'll email you an order confirmation with details and tracking info.","Nous vous enverrons par e-mail une confirmation de commande avec les détails et les informations de suivi."
"What's this?","Qu’est-ce que c’est ?"
"Year","Année"
"Your Cart","Votre panier"
"Your order # is: <span>%1</span>.","Votre numéro de commande est : <span>%1</span>."
"Your order number is: %1.","Votre numéro de commande est : %1."
"Zip/Postal Code","Code postal"

"Welcome to %store_name","Bienvenue chez %store_name",module,Magento_Customer
"Welcome to %store_name.","Bienvenue chez %store_name.",module,Magento_Customer
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Bienvenue dans notre communauté ! Pour vous connecter à notre Coke Store, vous pouvez utiliser ces informations d'identification lors du passage à la caisse ou sur la page <a href=""%customer_url"">Mon compte</a> :",module,Magento_Customer
"Email:","E-mail:",module,Magento_Customer
"Password:","Mot de passe:",module,Magento_Customer
"Password you set when creating account","Mot de passe défini lors de la création du compte",module,Magento_Customer
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Vous avez oublié le mot de passe de votre compte ? Cliquez <a href=""%reset_url"">ici</a> pour le réinitialiser.",module,Magento_Customer
"When you sign in to your account, you will be able to:","En vous connectant à votre compte, vous pourrez :",module,Magento_Customer
"Proceed through checkout faster","passer plus rapidement à la caisse",module,Magento_Customer
"Check the status of orders","vérifier le statut de vos commandes",module,Magento_Customer
"View past orders","visualiser vos commandes passées",module,Magento_Customer
"Store alternative addresses (for shipping to multiple family members and friends)","enregistrer des adresses alternatives (pour les expéditions multiples envoyées à vos amis et aux membres de votre famille)",module,Magento_Customer
"Thank you,","Merci,",module,Magento_Customer
"PS; did you know that with this account you can also login to our website or our Coca-Cola app and participate in promotions? Make sure you check it out! More information can be found <a href=""%url"">here</a>","PS : saviez-vous qu'avec ce compte, vous pouvez également vous connecter à notre site web ou à notre application Coca-Cola et participer à des promotions ? N'hésitez pas à vous renseigner ! Vous trouverez plus d'informations <a href=""%url"">ici</a>",module,Magento_Customer

"Reset your %store_name password","Réinitialisez votre mot de passe",module,Magento_Customer
"There was recently a request to change the password for your account.","Récemment, une demande a été faite pour changer le mot de passe de votre compte.",module,Magento_Customer
"If you requested this change, set a new password here:","Si vous avez demandé ce changement de mot de passe, vous pouvez en définir un nouveau ici :",module,Magento_Customer
"Set a New Password","Définir un nouveau mot de passe",module,Magento_Customer
"If you did not make this request, you can ignore this email and your password will remain the same.","Si vous n'avez pas demandé ce changement de mot de passe, vous pouvez ignorer cet e-mail et votre mot de passe restera inchangé.",module,Magento_Customer

"Thank you for your order","Merci pour votre commande"
"This is to confirm that we have successfully received your order.","Merci d’avoir choisi de faire vos achats chez nous ! J'espère que vous êtes aussi ravi que nous. Nous sommes heureux de vous confirmer que nous avons bien reçu votre commande."
"The order contains a message we need to approve before sending it to production which could delay the delivery up to 48 hours. We will contact you again when the message has been approved.", "The order contains a message we need to approve before sending it to production which could delay the delivery up to 48 hours. We will contact you again when the message has been approved."
"We will process within 1-2 business days and contact you when it is shipped.","Nous traiterons votre commande dans un délai de 1 à 2 jours ouvrables et vous enverrons une mise à jour lorsqu'elle sera remise aux services de livraison. "
"If you have any questions please do not hesitate to contact us via <a href=""mailto:%store_email"">%store_email</a>.","Veuillez vérifier les détails ci-dessous. Si vous avez des questions sur votre commande, n'hésitez pas à nous contacter. "
"Be sure to reference the order number <span class=""no-link"">#%increment_id</span>","Assurez-vous d'inclure le numéro de commande dans votre demande afin que nous puissions mieux vous aider. "
"If you have any questions about your order, its delivery or payment, please use our <a href='%contact_form_url'>contact form</a> to get in touch.","Si vous avez des questions concernant votre commande, sa livraison ou son paiement, veuillez utiliser notre <a href='%contact_form_url'>formulaire de contact</a> pour nous contacter."
"Please select ""I have a question"" and ""Product Information"", briefly describe your request in the text field, and include the order number <span class='no-link'>#%increment_id</span>. We're happy to help!","Veuillez sélectionner ""Information"" et puis ""Produits"", décrivez brièvement votre demande dans le champ de texte et incluez le numéro <span class='no-link'>#%increment_id</span> de commande. Nous sommes heureux de vous aider !"
"Best Regards","Cordialement"
"Order reference <span class=""no-link"">#%increment_id</span>","Référence de la commande <span class=""no-link"">#%increment_id</span>"
"Billing Info","Facturé à"
"Shipping Info","Expédié à"
"Payment Method","Mode de paiement"
"Shipping Method","Mode de livraison"
"Need help?", "Besoin d'aide"
"Contact us","Contactez-nous"

"Your message is denied","Message refusé"
"Message denied","Message refusé"
"You recently placed an order with a message that had to be reviewed. Unfortunately, after reviewing your message we needed to decline it. We review all messages not previously approved to ensure they align with our community guidelines and are in the spirit of sharing. Unfortunately, we cannot feedback on the detail of why your bespoke request has been rejected.","Vous avez récemment passé une commande comportant un message nécessitant un examen. Malheureusement, après avoir examiné votre message, nous avons dû le refuser. Nous examinons tous les messages qui n'ont pas été approuvés au préalable afin de nous assurer qu'ils sont conformes à nos directives communautaires et qu'ils s'inscrivent dans un esprit de partage. Malheureusement, nous ne pouvons pas vous donner de détails sur les raisons du rejet de votre demande. "
"We will automatically refund your money. It should be in the account of your chosen payment method within 2-3 business days.","Vous serez remboursé automatiquement pour la commande refusée. Le remboursement devrait apparaître sur le compte de votre mode de paiement choisi dans 2 à 3 jours ouvrables."
"We are sorry your order did not go as planned but we hope to see and you are welcome to request an alternative bespoke pledge and/or name.","Nous sommes navrés que votre commande ne se soit pas déroulée comme prévu, mais nous espérons vous revoir et nous vous invitons à demander un autre message et/ou nom personnalisé."
"The following message is denied","Le message suivant est refusé"
"Your message is approved","Message approuvé"
"Message approved","Message approuvé"
"Good news, you recently placed order with a message that had to be reviewed. After reviewing your message we are happy to share that it was approved. We are completing your order right now and it will be shipped as soon as possible.","Bonne nouvelle ! Vous avez récemment passé une commande comportant un message nécessitant un examen. Après avoir examiné votre message, nous sommes heureux de vous annoncer qu'il a été approuvé. Nous finalisons votre commande en ce moment même et elle sera expédiée dès que possible."
"Please check the details below and if you have any questions on your order please do not hesitate to contact us. Make sure you include the order number in your request so we can help you in the best way.","Veuillez vérifier les détails ci-dessous. Si vous avez des questions sur votre commande, n'hésitez pas à nous contacter. Assurez-vous d'inclure le numéro de commande dans votre demande afin que nous puissions mieux vous aider."
"The following message is now approved","Nous avons approuvé le message ci-dessous"
"Your %store_name order has shipped","Confirmation de livraison"
"Delivery confirmation","Confirmation de livraison"
"Your order has been shipped from our warehouse and should be by your place shortly. You can track your shipment and get up to date information below.","Eh oui ! Bonne nouvelle ! Votre commande a été expédiée depuis notre entrepôt et devrait arriver sous peu. Vous pouvez suivre votre envoi via les informations Track&Trace ci-dessous. Profitez bien de votre commande. Nous espérons vous revoir bientôt !"
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
"Track your order","Suivez votre commande"
