"Terms & Conditions","Algemene voorwaarden"
"Terms &amp; Conditions","Algemene voorwaarden"
"Cookie Policy","Cookie beleid"
"Privacy Policy","Privacy beleid"
"FAQ","FAQ"
"Sales Policy","Verkoop beleid"
"THIS SERVICE IS PROVIDED BY","DEZE SERVICE WORDT GELEVERD DOOR"
"What's Your Resolution?","Wat is jouw goede voornemen?"
"Select Your Can","Selecteer jouw blikje"
"Now... It’s time to fill it in!","Nu is het tijd om 'm in te vullen!"
"Make it personal (optional)","Maak het persoonlijk"
"To Name","Naar"
"From Name","Van"
"Your family or friend’s name","Jouw naam of naam van jouw vriend"
"Select Your Flavour","Kies jouw smaak"
"Now customize your resolution","Vul nu je voornemen aan"
"Back to Resolution","Terug naar goede voornemen"
"Let's do it!","Ga verder!"
"Can't find your pledge?","Goede voornemen niet gevonden?"
"Request a name","Vraag een naam aan"
"Back to Resolution","Terug naar goede voornemen"
"Checkout With Your Account","Check-out met je account"
"Not a member?","Geen lid?"
"Join Us","Word lid"
"Request pledge form","Vraag een goed voornemen aan"
"Submit my suggestion","Stuur mijn suggestie in"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Geef hier het voornemen of de naam die je op het blik wil zetten (""%1""). Je hebt een maximum van 36 karakters (spaties inbegrepen) voor een voornemen en een maximum van 18 karakters voor een naam. Als je meer dan een naam aanvraagt, gelieve de namen te splitsen van elkaar met een komma."
"You already have an account with us. Click here to sign in.","Je hebt al een account bij ons. Klik hier om je aan te melden."
"View Cart","Bekijk winkelwagen"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Word lid bij Coca-Cola"
"You added %1 to your shopping cart.","Je hebt %1 toegevoegd aan jouw winkelmand"
"Street Address 1","Adresregel 1"
"Street Address 2","Adresregel 2"
"Street Address 3","Adresregel 3"
"Enter your card details:","Vul hier uw kaartgegevens in"
"Your card details are protected using PCI DSS v3.2 security standards.","Uw kaartgegevens worden beschermd met PCI DSS v3.2 security"
"You will be redirected for payment processing","U wordt doorverwezen naar de betaalpagina."
"Preview Changes","Voorbeeld van wijzigingen"
"Add to Cart","Voeg aan winkelwagen toe"
"From","Van"
"To","Voor"
"Your %store_name order confirmation","Je %store_name bestelbevestiging"
"Thank you for your order from %store_name.","Bedankt voor je bestelling op de %store_name website."
"Once your package ships we will send an email with a link to track your order.","Zodra je pakket verstuurd is, sturen we een e-mail met een link om de bestelling te volgen."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Indien je vragen hebt over je bestelling kan je ons contacteren per e-mail op <a href=""mailto:%store_email""> %store_email</a>.",module,Magento_Email
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Indien je vragen hebt over je bestelling kan je ons contacteren per e-mail op <a href=""mailto:%store_email""> %store_email</a>",module,Magento_Email
"Thank you, %store_name","Verfrissende groeten, %store_name",module,Magento_Email
"* Required Fields","* Verplichte velden"
"Message","Tekst"
"messages","berichten"
"Address","Adres"
"Address Finder","Adreszoeker"
"All","Alle"
"Back","Terug"
"Bottle Deposit","Statiegeld flessen"
"Choose your design","Kies je ontwerp"
"City","Plaats"
"Clear Shopping Cart","Winkelmandje leegmaken"
"Company","Bedrijf"
"Congratulations! Your order qualifies for free shipping","Gefeliciteerd! De bestelling komt in aanmerking voor gratis verzending"
"Contact Information","Contactinformatie"
"Continue Shopping","Ga verder met winkelen"
"Country","Land"
"Create your account","Maak een account"
"Create your own","Maak het zelf"
"Customise","Aanpassen"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Description","Beschrijving"
"Design","Ontwerp"
"Edit","Bewerken"
"Enter the name or message","Voer een naam of tekst in"
"estimated","geschat"
"Europe","Europa"
"Gift Ideas","Cadeau-ideeën"
"Gift ideas","Cadeau-ideeën"
"Go back","Ga terug"
"How does it work?","Hoe werkt het?"
"included","inbegrepen"
"It's a default billing address.","Het is een standaard factuuradres."
"It's a default shipping address.","Het is een standaard verzendadres."
"Item","Item"
"Items","Items"
"Loading...","Laden..."
"Log Out","Uitloggen"
"Month","Maand"
"more","meer"
"more and enjoy free shipping","meer en krijg gratis verzending"
"Options Details","Opties details"
"Order Confirmed","Bestelling bevestigd"
"Pending Approval","In afwachting van goedkeuring"
"Personalize your drink. Enjoy your experience.","Personaliseer je drankje. Geniet van je ervaring."
"Personalized Product","Gepersonaliseerd product"
"Phone Number","Telefoonnummer"
"Please enter a valid phone number.","Voer een geldig telefoonnummer in."
"Please enter a valid postal code.","Voer een geldige postcode in."
"Please specify a regionId in shipping address.","Geef een regionId op voor het verzendadres."
"Price","Prijs"
"Qty","Aantal"
"Remove","Verwijderen"
"Resolutions","Resoluties"
"Save Address","Adres opslaan"
"See Details","Zie details"
"See price before order confirmation.","Zie prijs voor orderbevestiging."
"Select","Selecteren"
"Select beverage & package","Drank & pakket selecteren"
"Select design","Kies ontwerp"
"Select Yes to enable personalized product functionality for this store view.","Selecteer 'Ja' om de functie Gepersonaliseerd product voor deze winkelweergave in te schakelen."
"Select your drink","Kies je drankje"
"Shipment & Returns","Verzending & retourzendingen"
"Shipping","Verzending"
"Shop by Category","Winkelen op categorie"
"Shopping Cart Items","Artikelen in winkelwagen"
"Spend","Betalen"
"Start personalizing","Begin met personaliseren"
"State/Province","Provincie"
"Stay up to date","Blijf op de hoogte"
"Street Address","Straat"
"Subscribe to newsletter, order your creation and manage your orders. Create your account today.","Abonneer je op de nieuwsbrief, bestel je creatie en beheer je bestellingen. Maak vandaag nog een account."
"Subscription","Abonnement"
"Subtotal","Subtotaal"
"Taxes","Belastingen"
"The shipping method is missing. Select the shipping method and try again.","De verzendmethode ontbreekt. Selecteer de verzendmethode en probeer het opnieuw."
"This service is provided by","Deze dienst wordt verleend door"
"Title","Titel"
"Total","Totaal"
"Type your message or choose from our favorite suggestions below","Typ je tekst of kies een populaire suggestie hieronder"
"unit","unit"
"Update","Bijwerken"
"Update Shopping Cart","Winkelmandje bijwerken"
"Use as my default billing address","Gebruiken als mijn standaard factuuradres"
"Use as my default shipping address","Gebruiken als mijn standaard verzendadres"
"VAT Number","BTW-nummer"
"We'll email you an order confirmation with details and tracking info.","Wij sturen je een e-mail met een orderbevestiging met details en tracking info."
"What's this?","Wat is dit?"
"Year","Jaar"
"Your Cart","Je winkelmandje"
"Your order # is: <span>%1</span>.","Je bestelnummer is: <span>%1</span>."
"Your order number is: %1.","Je bestelnummer is: %1."
"Zip/Postal Code","Postcode"
"Welcome to %store_name","Welkom bij %store_name",module,Magento_Customer
"Welcome to %store_name.","Welkom bij %store_name.",module,Magento_Customer
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Welkom bij onze community! Om je aan te melden bij onze Coke Store, kun je deze gegevens gebruiken bij het afrekenen of op de pagina <a href=""%customer_url"">Mijn account</a>:",module,Magento_Customer
"Email:","E-mail:",module,Magento_Customer
"Password:","Wachtwoord:",module,Magento_Customer
"Password you set when creating account","Wachtwoord dat je hebt ingesteld bij het maken van je account",module,Magento_Customer
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord van je account vergeten? Klik <a href=""%reset_url"">hier</a> om het te resetten.",module,Magento_Customer
"When you sign in to your account, you will be able to:","Als je je aanmeldt bij je account, kun je:",module,Magento_Customer
"Proceed through checkout faster","Sneller afrekenen",module,Magento_Customer
"Check the status of orders","De status van bestellingen bekijken",module,Magento_Customer
"View past orders","Vorige bestellingen bekijken",module,Magento_Customer
"Store alternative addresses (for shipping to multiple family members and friends)","Alternatieve adressen opslaan (voor verzending naar familieleden en vrienden)",module,Magento_Customer
"Thank you,","Bedankt,",module,Magento_Customer
"PS; did you know that with this account you can also login to our website or our Coca-Cola app and participate in promotions? Make sure you check it out! More information can be found <a href=""%url"">here</a>","PS: wist je dat je met dit account ook kunt inloggen op onze website of onze Coca-Cola-app, en gebruik kunt maken van aanbiedingen? Bekijk dit eens! Meer informatie vind je <a href=""%url"">hier</a>",module,Magento_Customer
"Reset your %store_name password","Wachtwoord resetten",module,Magento_Customer
"There was recently a request to change the password for your account.","Er is onlangs een verzoek ingediend om het wachtwoord van je account te wijzigen.",module,Magento_Customer
"If you requested this change, set a new password here:","Als je deze wijziging hebt aangevraagd, kun je hier het nieuwe wachtwoord instellen:",module,Magento_Customer
"Set a New Password","nieuw wachtwoord instellen",module,Magento_Customer
"If you did not make this request, you can ignore this email and your password will remain the same.","Als je de wijziging niet hebt aangevraagd, kun je deze e-mail negeren en blijft je wachtwoord hetzelfde. ",module,Magento_Customer
"Thank you for your order","Bedankt voor je bestelling"
"This is to confirm that we have successfully received your order.","Bedankt voor je aankoop bij ons! Ik hoop dat je net zo enthousiast bent als wij. Wij zijn blij te kunnen bevestigen dat we je bestelling met succes hebben ontvangen."
"The order contains a message we need to approve before sending it to production which could delay the delivery up to 48 hours. We will contact you again when the message has been approved.", "The order contains a message we need to approve before sending it to production which could delay the delivery up to 48 hours. We will contact you again when the message has been approved."
"We will process within 1-2 business days and contact you when it is shipped.","Wij verwerken de bestelling binnen 1-2 werkdagen en sturen je een update als je bestelling aan de bezorgdiensten is overhandigd."
"If you have any questions please do not hesitate to contact us via <a href=""mailto:%store_email"">%store_email</a>.","Controleer de details hieronder. Als je vragen hebt over je bestelling, aarzel dan niet om contact met ons op te nemen."
"Be sure to reference the order number <span class=""no-link"">#%increment_id</span>","Zorg ervoor dat je het bestelnummer vermeldt in je verzoek, zodat wij je zo goed mogelijk kunnen helpen."
"If you have any questions about your order, its delivery or payment, please use our <a href='%contact_form_url'>contact form</a> to get in touch.","Als je vragen hebt over je bestelling, levering of betaling, gebruik dan ons <a href='%contact_form_url'>contactformulier</a> om contact met ons op te nemen."
"Please select ""I have a question"" and ""Product Information"", briefly describe your request in the text field, and include the order number <span class='no-link'>#%increment_id</span>. We're happy to help!","Selecteer ""Informatie"" en dan ""Producten"", beschrijf kort je verzoek in het tekstveld en vermeld het bestelnummer <span class='no-link'>#%increment_id</span>. Wij helpen je graag!"
"Best Regards","Groetjes"
"Order reference <span class=""no-link"">#%increment_id</span>","Bestelnummer <span class=""no-link"">#%increment_id</span>"
"Billing Info","Gefactureerd aan"
"Shipping Info","Verzenden naar"
"Payment Method","Betaalmethode"
"Shipping Method","Aflevermethode"
"Need help?", "Hulp nodig"
"Contact us","Contact opnemen"
"Your message is denied","Bericht geweigerd"
"Message denied","Bericht geweigerd"
"You recently placed an order with a message that had to be reviewed. Unfortunately, after reviewing your message we needed to decline it. We review all messages not previously approved to ensure they align with our community guidelines and are in the spirit of sharing. Unfortunately, we cannot feedback on the detail of why your bespoke request has been rejected.","Je hebt onlangs een bestelling geplaatst met een tekst die moest worden nagekeken. Helaas moeten we de tekst afwijzen. Wij controleren alle teksten die niet eerder zijn goedgekeurd om er zeker van te zijn dat ze in overeenstemming zijn met onze community-richtlijnen en in de geest van delen zijn. Helaas kunnen we je niet in detail vertellen waarom je verzoek om maatwerk is afgewezen. "
"We will automatically refund your money. It should be in the account of your chosen payment method within 2-3 business days.","Je wordt automatisch terugbetaald voor de geweigerde bestelling. Het zou binnen 2-3 werkdagen op de rekening van de door jou gekozen betaalmethode moeten staan."
"We are sorry your order did not go as planned but we hope to see and you are welcome to request an alternative bespoke pledge and/or name.","Het spijt ons dat de bestelling niet is gegaan zoals gepland, maar we hopen dat je een andere zelfgemaakte tekst zult aanvragen."
"The following message is denied","De volgende tekst is geweigerd"
"Your message is approved","Bericht goedgekeurd"
"Message approved","Bericht goedgekeurd"
