Dashboard,マイページ
Branch,支部
Whoops, our bad...,ページが見つかりません
The page you requested was not found, and we have a fine guess why.,お探しのページが見つかりません。　下記の理由でアクセスができないかもしれません。
If you typed the URL directly, please make sure the spelling is correct.,アドレス（URL)のタイプミスかもしれません。正しく入力されているか、確認してください。
If you clicked on a link to get here, the link is outdated.,リンク（サイトの内外問わず）をクリックした場合、リンク切れかもしれません。
What can you do?,お手数ですが下記いずれかの方法にて、お求めのページをお探しください。
Go back to the previous page.,前のページ に戻ってください。
Follow these links to get you back on track!, 下記のリンク先に直接クリックしてください。
Store Home, ホームページ
My Account, Myダッシュボード
Frequently Asked Questions,よくある質問
Contact Us,お問い合わせ
Contract,契約する
Edit,編集
View / Edit,表示/編集
Add New Elder,新規お客様を登録する
Relationship with the Elder,シニアとの関係
Relationship,シニアとの関係
Use camera to take a photo of the contract,カメラで契約書を撮る
Helper Information,ヘルパー情報
Change Password,パスワードを変更
Quick Links,ショートカット
Helper,ヘルパー
Elder,シニア
Search Elders,シニアを検索
Elder Concierge Project,自宅で元気応援サービス
Email Address,メールアドレスを入力
Password,パスワード
Forgot Your Password?,パスワードを忘れた方はこちら
Forgot Your Password,パスワードを忘れた方はこちら
Total,合計
Order Information,お客様情報
Login,ログイン
Processing,処理中
Suspected Fraud,不正行為の疑い
Pending Payment,未決済
Payment Review,支払いの調査中
Pending,未決定
On Hold,保留
Open,オープン
Complete,完了
Closed,クローズド
Canceled,キャンセル
processing,処理中
suspected fraud,不正行為の疑い
pending payment,未決済
payment review,支払いの調査中
pending,未決定
on hold,保留
open,オープン
complete,完了
closed,クローズド
canceled,キャンセル
