"Terms & Conditions","Nutzungsbedingungen"
"Terms &amp; Conditions","Nutzungsbedingungen"
"Cookie Policy","Cookie richtlinien"
"Privacy Policy","Datenschutz"
"FAQ","FAQ"
"Sales Policy","Verkaufspolitik"
"THIS SERVICE IS PROVIDED BY","DIESER SERVICE WIRD BEREITGESTELLT VON"
"What's Your Resolution?","Was nimmst du dir vor?"
"Select Your Can","Wähle deine Dose aus"
"Now... It’s time to fill it in!","Jetzt .. ist es Zeit zum Ausfüllen!"
"Make it personal (optional)","Mach es persönlicher"
"To Name","für"
"From Name","Von"
"Your family or friend’s name","Name des Empfängers"
"Can't find your pledge?","Findest du kein passendes Versprechen?"
"Request a name","Namen wählen"
"Checkout With Your Account","Unter diesem Nutzerkonto bezahlen"
"Request pledge form","Anfrage neues Versprechen"
"Submit my suggestion","Vorschlag absenden"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Bitte gib das Versprechen oder den Namen ein, den du für deine Dose verwenden möchtest (""%1""). Du kannst maximal 36 Zeichen (einschließlich Leerzeichen) für ein Versprechen und maximal 18 Zeichen für einen Namen verwenden. Wenn du mehr als einen Namen anfragen möchtest, trenne die Namen bitte durch Kommas."
"FPT","Dosenpfand"
"You already have an account with us. Click here to sign in.","Du hast bereits ein Konto bei uns. Klicke hier, um dich anzumelden."
"If you have an account, sign in with your email address.","Wenn Du bereits ein Konto hast, melde dich mit deiner E-Mail-Adresse an."
"By logging in, you agree to Coca Cola's Terms of use and Privacy Policy","Durch das Anmelden stimmst Du den Nutzungsbedingungen und Datenschutzbestimmungen von Coca-Cola zu."
"Not a member?","Du hast noch kein Nutzerkonto?"
"Join Us","Registriere dich jetzt!"
"Confirm Email","E-Mail-Adresse bestätigen"
"Nature of Inquiry","Art der Anfrage"
"Choose:","Auswählen"
"Order Inquiry","Bestellanfrage"
"Bulk orders","Großbestellung"
"Account Access Issues","Kontozugriffsprobleme"
"Nutrition & Ingredient Inquiry","Anfragen zu Ernährung und Zutaten"
"Status of National Promotion",""
"Suggestions","Vorschlag"
"Other","Sonstiges"
"Order Confirmation Number","Bestellbestätigungsnummer"
"Thank you, %store_name","Vielen Dank, Coca-Cola Germany"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei Coca-Cola Store"
"View Cart","Details"
"Cart Subtotal","Zwischen"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Melde dich bei Coca-Cola an und teile als Erster besondere Momente mit denen, die du liebst"
"Select Your Flavour","Wähle das Produkt aus"
"Let's do it!","Auf geht's!"
"Now... It’s time to fill it in!","Jetzt ist es Zeit zum Ausfüllen!"
"Now customize your resolution","Personalisiere nun deine Dose"
"Back to Resolution","Zurück zum Vorsatz"
"You added %1 to your shopping cart.","Du hast %1 to deiner Bestellung hinzugefügt"
"Please select an approved name from the lists provided","Bitte wähle einen Namen aus den bereitgestellten Listen"
"Resolution","Vorsatz"
"Request name form","Anfrage neuer Name"
"Confirm Email","E-Mail-Adresse bestätigen"
"Email","E-Mail-Adresse"
"Street Address 1","Straße und Hausnummer: Zeile 1"
"Street Address 2","Straße und Hausnummer: Zeile 2"
"Street Address 3","Straße und Hausnummer: Zeile 3"
"Enter your card details:","Gib hier deine Kartendaten ein:"
"Your card details are protected using PCI DSS v3.2 security standards.","Deine Kartendaten werden durch PCI DSS v3.2-Sicherheitsstandards geschützt."
"You will be redirected for payment processing","Du wirst zur Zahlungsabwicklung weitergeleitet"
"Preview Changes","Vorschau von Änderungen"
"Add to Cart","In den Warenkorb"
"From","Von"
"To","Für"
"Order Confirmed","Bestellung bestätigt"
