"Terms & Conditions","Vilkår og betingelser"
"Terms &amp; Conditions","Vilkår og betingelser"
"Cookie Policy","bruk av informasjonskapsler"
"Privacy Policy","retningslinjer for personvern"
"FAQ","FAQ"
"Sales Policy","Salgspolitikk"
"THIS SERVICE IS PROVIDED BY","DENNE TJENESTEN LEVERES AV"
"What's Your Resolution?","Hva er ditt løfte for i år?"
"Select Your Can","Velg din boksvariant"
"Now... It’s time to fill it in!","Nå er det tid for å fylle den ut!"
"Make it personal (optional)","Gjør det personlig"
"To Name","Til"
"From Name","Fra"
"Your family or friend’s name","Navn til den du ønsker å gi boksen til"
"Select Your Flavour","Velg din variant"
"Back to Resolution","Tilbake til ditt løfte"
"Let's do it!","Sett i gang!"
"Can't find your pledge?","Finner du ikke løfte du ønsker?"
"Request a name","Forespør et navn"
"Checkout With Your Account","Logg ut av kontoen din"
"Not a member?","Ikke et medlem?"
"Join Us","Bli et medlem!"
"Request pledge form","Be om et annet løfte"
"Submit my suggestion","Send inn mitt forslag"
"Now customize your resolution","Tilpass ditt løfte"
"By logging in, you agree to Coca Cola's Terms of use and Privacy Policy","Ved å logge inn samtykker du til Coca-Cola sine vilkår og betingelser og personvernsregler"
"Thank you, %store_name","Thank you, Coca-Cola Store"
"Thank you for your order from %store_name.","Takk for bestillingen din fra Coca-Cola Store"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Bli et Coca-Cola medlem and vær den første til å dele spesielle øyeblikk med de du er glad i!"
"Preview Changes","Forhåndsvisning av endringer"
"Add to Cart","Legg til i handlekurven"
"From","Fra"
"To","Til"
"Order Confirmed","Ordre bekreftet"
